1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2024,3036WSNNCH2684P,110071284147,SENNECA HOLDINGS (HMF EXPRESS),2684 PEACHTREE SQ,ATLANTA,DEKALB,GA,30360,,,33.924426,-84.277104,NAD83,SENNECA HOLDINGS,090454925,SENNECA HOLDINGS,NA,,NA,NO,332,Fabricated Metals,,,,,,,332321,,,,,,1324222595922,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,17766.000,0.000,0.000,0.000,17766.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17784.000,18.400,0.000,0.000,0.400,18.000,0.000,0.000,0.000,0.000,17766.000,0.000,0.000,17784.400,,ACTIVITY,1.050
2024,3068WFLYPR1291B,110071434509,FOLEY PRODUCTS CO - WINDER,1291 HARDIGREE RD,WINDER,BARROW,GA,30680,,,33.972976,-83.648953,,FOLEY PRODUCTS CO LLC,003310138,FOLEY PRODUCTS CO LLC,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327332,,,,,,1324222563456,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.526,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.539,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.539,0.000,0.000,0.539,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.539,,PRODUCTION,1.020
2024,30139PNHLL1FAIR,110020516896,PINE HALL BRICK CO INC,10000 FAIRMOUNT HWY SE,FAIRMOUNT,GORDON,GA,30139,,,34.447105,-84.743170,,PINE HALL BRICK CO INC,041414541,PINE HALL BRICK CO INC,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327120,,,,,,1324222572226,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007647010,7647-01-0,152231,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,1907.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1907.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1907.000,0.000,0.000,1907.000,0.000,0.000,0.000,0.000,0.000,0.000,3814.560,0.000,5721.560,,PRODUCTION,1.000
2024,3072WVCSNC11IVC,110063596229,IVC US INC,101 IVC DR,DALTON,WHITFIELD,GA,30721,,,34.717090,-84.945290,,MOHAWK INDUSTRIES INC,120930102,MOHAWK INDUSTRIES INC,NA,,NA,NO,326,Plastics and Rubber,,,,,,,326199,,,,,,1324222906556,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.250,0.000,3.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.250,0.000,0.000,49.000,0.000,7857.000,7906.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7909.250,3.250,0.000,0.000,0.000,2.145,1.105,0.000,0.000,0.000,7906.000,0.000,0.000,7909.250,,ACTIVITY,1.910
2024,31732GRTSTHIGHW,110056956664,GEORGIA-PACIFIC CEDAR SPRINGS LLC,12551 GEORGIA HWY 273 W,CEDAR SPRINGS,EARLY,GA,39832,,,31.169400,-85.094100,,KOCH INC.,119316570,,NA,,NA,NO,322,Paper,,,,,,,322130,,,,,,1324222641084,Formaldehyde,NO,0000050000,50-00-0,1008,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,57.000,12000.000,1600.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,13666.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13666.000,0.000,9.000,13657.000,0.000,0.000,3600.000,0.000,0.000,0.000,13000.000,0.000,30266.000,,PRODUCTION,1.120
2024,31521BRNSW14W9T,110020517412,BRUNSWICK CELLULOSE LLC,1400 W 9TH ST,BRUNSWICK,GLYNN,GA,31520,,,31.173147,-81.519247,,KOCH INC.,119316570,,NA,,NA,NO,322,Paper,,,,,,,322110,,,,,,1324222697777,Phenol,NO,0000108952,108-95-2,25510,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,7.000,22000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22007.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22007.000,0.000,0.000,22007.000,0.000,0.000,0.000,0.000,0.000,0.000,3300.000,0.000,25307.000,,ACTIVITY,0.900
2024,31408BLDNG1BRAM,110011734524,BUILDING MATERIALS MANUFACTURING LLC,1 BRAMPTON RD,SAVANNAH,CHATHAM,GA,31408,,,32.115970,-81.132384,,G HOLDINGS INC,NA,G HOLDINGS INC,NA,,NA,NO,324,Petroleum,,,,,,,324122,,,,,,1324222929693,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.000,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.000,66.350,0.000,0.000,0.350,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.350,,PRODUCTION,1.080
2024,31643LNGBRHWY34,110000588463,LANGBOARD OSB,320 LANGBOARD LN,QUITMAN,BROOKS,GA,31643,,,30.785550,-83.481110,,THE LANGDALE CO,178114666,THE LANGDALE CO,NA,,NA,NO,321,Wood Products,,,,,,,321219,,,,,,1324222804510,Dioxin and dioxin-like compounds,NO,N150,N150,755371,YES,Dioxin,NO,Non_Metal,YES,YES,NO,R,Grams,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.074,0.000,0.000,0.015,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.074,,PRODUCTION,1.020
2024,30240NSGNB1600E,110000357159,HENKEL CORP,1600 EXECUTIVE DR,LAGRANGE,TROUP,GA,30240,,,33.008340,-85.059550,,HENKEL OF AMERICA INC,054744784,HENKEL OF AMERICA INC,NA,,NA,NO,324,Petroleum,,,,,,,324122,325520,,,,,1324222798908,Methyl methacrylate,NO,0000080626,80-62-6,8458,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,1437.000,227.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1664.000,0.100,0.900,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,38.000,0.000,38.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.000,39.000,1664.100,0.000,0.000,1664.000,0.000,0.100,0.000,38.000,0.000,0.000,11120.000,0.900,12823.000,,PRODUCTION,0.960
2024,31206CHRKB3250W,110000360127,CHEROKEE BRICK & TILE CO,3250 WATERVILLE RD,MACON,BIBB,GA,31206,,,32.802500,-83.635800,,NA,,NA,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327120,,,,,,1324222944151,Manganese compounds,NO,N450,N450,650010,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,19.940,4.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.530,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23004.000,0.000,0.000,0.000,23004.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23004.000,24.530,0.000,0.000,24.530,0.000,0.000,0.000,0.000,0.000,23004.000,0.000,0.000,23028.530,,ACTIVITY,0.690
