"GEO_ID","NAME","B09010_001E","B09010_001M","B09010_002E","B09010_002M","B09010_003E","B09010_003M","B09010_004E","B09010_004M","B09010_005E","B09010_005M","B09010_006E","B09010_006M","B09010_007E","B09010_007M","B09010_008E","B09010_008M","B09010_009E","B09010_009M","B09010_010E","B09010_010M","B09010_011E","B09010_011M","B09010_012E","B09010_012M","B09010_013E","B09010_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In married-couple family","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In married-couple family","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In male householder, no spouse present, family","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In male householder, no spouse present, family","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In female householder, no spouse present, family","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In female householder, no spouse present, family","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In nonfamily households","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In nonfamily households","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In married-couple family","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In married-couple family","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In male householder, no spouse present, family","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In male householder, no spouse present, family","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In female householder, no spouse present, family","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In female householder, no spouse present, family","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In nonfamily households","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In nonfamily households",
"860Z200US30002","ZCTA5 30002","857","149","62","77","62","77","12","23","50","73","0","20","0","20","795","158","734","145","655","141","46","45","33","42","61","66",
"860Z200US30004","ZCTA5 30004","19102","1415","1212","673","1212","673","508","416","10","16","694","529","0","34","17890","1257","17832","1267","15880","1205","592","296","1360","546","58","74",
"860Z200US30005","ZCTA5 30005","10828","1310","1154","1057","1154","1057","1137","1057","17","25","0","30","0","30","9674","919","9666","920","8404","870","223","137","1039","356","8","13",
"860Z200US30008","ZCTA5 30008","9201","1355","1671","564","1671","564","707","405","95","101","869","440","0","30","7530","1355","7530","1355","3696","838","1251","765","2583","824","0","30",
"860Z200US30009","ZCTA5 30009","4683","1154","485","317","485","317","62","69","0","27","423","313","0","27","4198","1157","4198","1157","3557","1166","304","261","337","218","0","27",
"860Z200US30011","ZCTA5 30011","6060","775","1088","384","1088","384","752","356","40","53","296","187","0","27","4972","752","4947","756","3761","730","409","202","777","309","25","31",
"860Z200US30012","ZCTA5 30012","8499","873","1506","524","1506","524","412","309","0","30","1094","446","0","30","6993","980","6977","983","3712","779","357","191","2908","827","16","31",
"860Z200US30013","ZCTA5 30013","7196","1258","2017","724","1973","735","484","390","72","119","1417","535","44","67","5179","1111","5179","1111","2875","590","413","358","1891","879","0","27",
"860Z200US30014","ZCTA5 30014","10297","1054","2895","647","2895","647","1194","544","135","192","1566","564","0","30","7402","1174","7292","1169","4979","919","527","362","1786","776","110","143",
