STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,GEOID_2020,COUNTY,StateDesc,STATEABBR,LOCATION,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,SPL_EJI_CBM,RPL_EJI_CBM,E_MINRTY,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,E_POV200,EPL_POV200,E_NOHSDP,EPL_NOHSDP,E_UNEMP,EPL_UNEMP,E_RENTER,EPL_RENTER,E_HOUBDN,EPL_HOUBDN,E_UNINSUR,EPL_UNINSUR,E_NOINT,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,E_AGE65,EPL_AGE65,E_AGE17,EPL_AGE17,E_DISABL,EPL_DISABL,E_LIMENG,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,E_MOBILE,EPL_MOBILE,E_GROUPQ,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,E_OZONE,EPL_OZONE,E_PM,EPL_PM,E_DSLPM,EPL_DSLPM,E_TOTCR,EPL_TOTCR,SPL_EBM_DOM1,RPL_EBM_DOM1,E_NPL,EPL_NPL,E_TRI,EPL_TRI,E_TSD,EPL_TSD,E_RMP,EPL_RMP,E_COAL,EPL_COAL,E_LEAD,EPL_LEAD,SPL_EBM_DOM2,RPL_EBM_DOM2,E_PARK,EPL_PARK,E_HOUAGE,EPL_HOUAGE,E_WLKIND,EPL_WLKIND,SPL_EBM_DOM3,RPL_EBM_DOM3,E_RAIL,EPL_RAIL,E_ROAD,EPL_ROAD,E_AIRPRT,EPL_AIRPRT,SPL_EBM_DOM4,RPL_EBM_DOM4,E_IMPWTR,EPL_IMPWTR,F_IMPWTR,SPL_EBM_DOM5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,E_ASTHMA,EPL_ASTHMA,F_ASTHMA,E_CANCER,EPL_CANCER,F_CANCER,E_CHD,EPL_CHD,F_CHD,E_MHLTH,EPL_MHLTH,F_MHLTH,E_DIABETES,EPL_DIABETES,F_DIABETES,F_HVM,RPL_HVM,E_NEHD,EPL_NEHD,SPL_CBM_DOM1,RPL_CBM_DOM1,E_BURN,EPL_BURN,E_SMOKE,EPL_SMOKE,SPL_CBM_DOM2,RPL_CBM_DOM2,E_CFLD,EPL_CFLD,F_CFLD,E_DRGT,EPL_DRGT,F_DRGT,E_HRCN,EPL_HRCN,F_HRCN,E_RFLD,EPL_RFLD,F_RFLD,E_SWND,EPL_SWND,F_SWND,E_TRND,EPL_TRND,F_TRND,SPL_CBM_DOM3,RPL_CBM_DOM3,SPL_CBM,RPL_CBM,AFAM,E_AFAM,HISP,E_HISP,ASIAN,E_ASIAN,AIAN,E_AIAN,NHPI,E_NHPI,TWOMORE,E_TWOMORE,OTHERRACE,E_OTHERRACE,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag
13,031,110201,140000US13031110201,13031110201,13031110201,Bulloch County,Georgia,GA,Census Tract 1102.01; Bulloch County; Georgia,3721,651,2537,1.257,0.4877,1.257,0.7036,1.9487,0.5802,43.9,0.6122,0.6122,0.6122,36.9506,0.6759,16.8,0.7795,1.2,0.086,28,0.4723,31.1,0.6903,7.5,0.5422,25,0.905,4.1512,0.6577,17.1,0.5409,22.5,0.5562,12.5,0.4874,0.1,0.2298,1.8143,0.3518,23.9,0.9197,8.7,0.9438,1.8635,0.9921,8.4412,0.7744,0,0,0,0,0.1054,0.1728,30,0.4976,0.6704,0.16,0,0,18.2989,0.5256,0,0,0.6638,0.6657,0,0,0,0,1.1913,0.5031,6.2898,0.9446,31.2,0.2498,7.0833,0.6583,1.8527,0.6956,57.7584,0.6349,30.6203,0.281,6.7269,0.8879,1.8038,0.9236,0.178,0.2825,0,0.2825,0.2825,5.8007,0.4826,10.2,0.3849,0,7.1,0.3792,0,6,0.3257,0,16.4,0.4345,0,12.1,0.5109,0,0,0,10.2,0.2978,0.2978,0.2978,0,0,4,0.0944,0.0944,0.0937,0,0,1,28.9545,0.6962,9,0.2577,0.9228,9,0.5417,0.0867,9,2.0225,0.5172,9,0.0556,0.5198,9,2.7427,0.8975,3.1349,0.6917,1329,35.7,129,3.5,9,0.2,0,0,0,0,140,3.8,28,0.8,0,-999,-999
13,031,110302,140000US13031110302,13031110302,13031110302,Bulloch County,Georgia,GA,Census Tract 1103.02; Bulloch County; Georgia,4715,806,8546,0.9197,0.28,0.9197,0.4521,1.2762,0.2123,29.4,0.4624,0.4624,0.4624,24.5804,0.4295,7.3,0.4314,10.7,0.8888,31.7,0.5297,16.6,0.2231,6.9,0.5047,11,0.5236,3.5308,0.5098,9.3,0.149,26.6,0.7861,11,0.3826,2.5,0.6363,1.954,0.4665,23.2,0.9154,0.2,0.443,1.3584,0.8131,7.3056,0.5926,0,0,0,0,0.1024,0.1628,30,0.4976,0.6604,0.1557,0,0,30.8243,0.5888,0,0,15.1722,0.807,0,0,0,0,1.3958,0.5762,10.3664,0.9256,14.8,0.1257,5.4167,0.8322,1.8835,0.719,41.4307,0.5753,49.1814,0.3578,0,0,0.9331,0.4278,0.097,0.219,0,0.219,0.219,5.0918,0.3271,8.9,0.0946,0,6.4,0.2987,0,4.7,0.1148,0,13.7,0.1483,0,9.3,0.1747,0,0,0,10.2,0.2978,0.2978,0.2978,0,0,3.9,0.0889,0.0889,0.0883,0,0,1,27.3636,0.6758,9,0.2175,0.8636,9,0.5417,0.0867,9,2.0123,0.5158,9,0,0,0,2.1419,0.6619,2.5286,0.3565,704,14.9,368,7.8,216,4.6,0,0,0,0,96,2,0,0,0,-999,-999
13,033,950101,140000US13033950101,13033950101,13033950101,Burke County,Georgia,GA,Census Tract 9501.01; Burke County; Georgia,2560,719,1748,1.162,0.4299,0.762,0.3245,1.8563,0.529,46.2,0.6322,0.6322,0.6322,40.664,0.7351,25.6,0.9076,0,0,18.8,0.3028,24.3,0.4988,13.7,0.8041,18.3,0.7827,4.0311,0.6288,18.2,0.6019,13.7,0.1211,17.2,0.7548,0,0,1.4778,0.1527,40.8,0.9784,0,0,0.9784,0.6603,7.1195,0.5609,0,0,0,0,0.0873,0.1171,30,0.4976,0.6147,0.1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0168,0.9508,29,0.2315,3.25,0.9816,2.1639,0.8944,33.2734,0.5422,22.0625,0.2392,0,0,0.7814,0.3681,1,0.8863,0,0.8863,0.8863,4.4463,0.2011,11,0.6239,0,8.2,0.5167,0,8.2,0.7153,1,17.7,0.5899,0,14.9,0.7811,1,2,0.4,4.8,0.0637,0.0637,0.0637,0,0,4.1,0.0991,0.0991,0.0984,0,0,1,44.5455,0.7961,9,0.1517,0.7269,9,0.2083,0.0132,9,2.8658,0.5859,9,0.1389,0.8557,9,2.9778,0.9465,3.1406,0.6943,1065,41.6,11,0.4,108,4.2,0,0,0,0,0,0,0,0,0,-999,-999
13,033,950200,140000US13033950200,13033950200,13033950200,Burke County,Georgia,GA,Census Tract 9502; Burke County; Georgia,3317,623,1210,1.6537,0.7007,0.8537,0.3981,2.3764,0.79,26.2,0.4216,0.4216,0.4216,54.667,0.8928,14.5,0.7235,3.7,0.3899,8.3,0.0888,12,0.0896,13.5,0.7983,17.3,0.7564,3.7393,0.5601,12.3,0.2793,24.2,0.6625,20.3,0.8638,0,0,1.8056,0.3449,69.4,0.998,0.6,0.6153,1.6133,0.9339,7.5798,0.6398,0,0,0.091,0.5886,0.0812,0.0984,30,0.4976,1.1846,0.3869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1816,0.9405,22,0.1766,2.1667,0.9976,2.1147,0.8684,7.3492,0.395,0,0,0,0,0.395,0.1243,0.976,0.8216,0,0.8216,0.8216,4.5159,0.2139,11.7,0.7893,1,8.2,0.5167,0,9.3,0.8516,1,19.8,0.7896,1,16.6,0.8717,1,4,0.8,5.4,0.0777,0.0777,0.0777,0,0,5.8,0.2477,0.2477,0.2458,0,0,1,44.8636,0.8001,9,0.1228,0.694,9,0.2083,0.0132,9,2.7723,0.5797,9,0.1111,0.8014,9,2.8884,0.932,3.2138,0.7227,615,18.5,178,5.4,0,0,0,0,0,0,77,2.3,0,0,0,-999,-999
13,045,910502,140000US13045910502,13045910502,13045910502,Carroll County,Georgia,GA,Census Tract 9105.02; Carroll County; Georgia,3226,718,2567,2.5184,0.9771,1.7184,0.9317,2.6631,0.893,69.2,0.7892,0.7892,0.7892,84.0435,0.9953,38.1,0.9727,11.8,0.9137,87.5,0.9644,65.4,0.9946,24,0.9533,19.9,0.8209,6.6149,0.9986,10,0.1761,26.5,0.7814,15,0.645,9.6,0.8718,2.4743,0.852,7.2,0.747,3.4,0.8593,1.6063,0.931,11.4847,0.9986,0,0,0,0,0.2631,0.6068,30,0.4976,1.1044,0.3515,0,0,100,0.8598,98.404,0.8271,90.6273,0.9626,0,0,0,0,2.6495,0.9432,100,0.5514,41.2,0.3457,8.2778,0.5423,1.4394,0.2966,100,0.8112,76.3251,0.459,0,0,1.2702,0.6078,0.488,0.5047,0,0.5047,0.5047,6.9682,0.7198,12.5,0.9009,1,4.9,0.1312,0,8.2,0.7153,1,24.3,0.9676,1,17.7,0.911,1,4,0.8,3.8,0.0338,0.0338,0.0338,0,0,5.1,0.18,0.18,0.1787,0,0,1,34.6818,0.7447,9,0.0468,0.5063,9,0.9583,0.2024,9,1.8809,0.5,9,0.0278,0,2,1.9534,0.5747,2.1672,0.1447,1286,39.9,787,24.4,0,0,27,0.8,0,0,0,0,133,4.1,0,-999,-999
13,047,030501,140000US13047030501,13047030501,13047030501,Catoosa County,Georgia,GA,Census Tract 305.01; Catoosa County; Georgia,2757,402,877,1.7063,0.7256,0.9063,0.4414,1.757,0.4713,6.8,0.0951,0.0951,0.0951,51.6913,0.8671,23.3,0.8846,3.8,0.4017,26.6,0.449,27.7,0.6022,17,0.8774,18.1,0.7774,4.8594,0.8023,25.4,0.8714,18,0.2797,22.3,0.9091,0.9,0.4413,2.5015,0.8648,30.8,0.9521,0,0,0.9521,0.6292,8.4081,0.7699,0,0,0,0,0.3308,0.7413,30,0.4976,1.2389,0.4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8591,0.9733,15,0.127,5,0.8717,1.972,0.7815,0,0,57.7144,0.3897,0,0,0.3897,0.1228,0.393,0.4442,0,0.4442,0.4442,4.0448,0.1364,11.4,0.7278,1,9.1,0.6479,0,9.4,0.8612,1,20.5,0.8383,1,14.9,0.7811,1,4,0.8,5.4,0.0777,0.0777,0.0777,0,0,4.8,0.1551,0.1551,0.1541,0,0,1,25.7727,0.6609,9,0.0117,0.2158,9,0.5417,0.0867,9,4.523,0.7006,9,0.0278,0,2,1.664,0.4217,1.8968,0.0507,0,0,10,0.4,21,0.8,16,0.6,0,0,140,5.1,0,0,0,-999,-999
13,051,002200,140000US13051002200,13051002200,13051002200,Chatham County,Georgia,GA,Census Tract 22; Chatham County; Georgia,4229,683,2558,1.8212,0.7767,1.4212,0.7964,2.3181,0.7644,72.7,0.8084,0.8084,0.8084,44.3603,0.7872,10.8,0.5999,2.7,0.2576,63,0.8518,33.7,0.7464,14.1,0.8145,10.7,0.5104,4.5678,0.7454,21.1,0.7399,23.5,0.6199,15.3,0.6612,0.2,0.2539,2.2749,0.7298,0.3,0.4677,0.4,0.5495,1.0172,0.6915,8.6683,0.8065,0,0,0.091,0.5886,0.3041,0.6922,30,0.4976,1.7784,0.61,0,0,45.7655,0.6463,0,0,13.0952,0.7972,0,0,0,0,1.4435,0.5959,100,0.5514,78.1,0.7565,14.7667,0.1084,1.4163,0.2752,23.3748,0.4943,100,0.6136,0,0,1.1079,0.5196,0.77,0.67,0,0.67,0.67,6.4161,0.6147,11.6,0.7701,1,6.5,0.3101,0,7,0.519,0,17.9,0.6122,0,16.8,0.88,1,2,0.4,9.4,0.2483,0.2483,0.2483,0,0,3.5,0.067,0.067,0.0664,0.012,0.142,9,19.4091,0.6045,9,0.3448,0.9772,9,1.5,0.3735,9,1.1642,0.3239,9,0,0,0,2.4211,0.7705,2.7364,0.4969,2938,69.5,64,1.5,0,0,0,0,0,0,39,0.9,32,0.8,0,-999,-999
13,051,002700,140000US13051002700,13051002700,13051002700,Chatham County,Georgia,GA,Census Tract 27; Chatham County; Georgia,2956,627,1096,1.8584,0.7923,1.2584,0.7045,2.3553,0.7805,70.2,0.7947,0.7947,0.7947,46.0081,0.8077,8.3,0.4844,7,0.7207,43.4,0.6796,45.4,0.9133,10.4,0.6895,7.9,0.376,4.6712,0.7665,27.2,0.9043,15.1,0.1596,16,0.6985,0,0,1.7624,0.3133,2.4,0.6275,0,0,0.6275,0.3549,7.8558,0.6851,0,0,0.091,0.5886,0.3277,0.7362,30,0.4976,1.8224,0.625,0,0,81.287,0.7641,0,0,0,0,0,0,0,0,0.7641,0.3352,100,0.5514,88.3,0.8798,14.375,0.137,1.5682,0.4247,98.1082,0.7856,100,0.6136,0,0,1.3992,0.6993,0.77,0.67,0,0.67,0.67,6.2239,0.5733,11.6,0.7701,1,5.9,0.2434,0,7.4,0.5898,0,19.1,0.7331,1,17.7,0.911,1,3,0.6,9.4,0.2483,0.2483,0.2483,0,0,3.5,0.067,0.067,0.0664,0.012,0.142,9,19.4091,0.6045,9,0.3448,0.9772,9,1.5,0.3735,9,1.1642,0.3239,9,0,0,0,2.4211,0.7705,2.7364,0.4969,2018,68.3,49,1.7,9,0.3,0,0,0,0,0,0,0,0,0,-999,-999
13,051,010812,140000US13051010812,13051010812,13051010812,Chatham County,Georgia,GA,Census Tract 108.12; Chatham County; Georgia,4833,948,2725,0.3871,0.0463,0.1871,0.0236,1.1831,0.1714,48.4,0.6498,0.6498,0.6498,16.7804,0.2552,1.8,0.0836,0,0,10.1,0.1218,15,0.1702,4.4,0.3188,8.1,0.3859,1.3355,0.0729,24.7,0.8552,14.9,0.1534,15.2,0.6558,0.2,0.2539,1.9183,0.4351,0,0,0,0,0,0,3.9036,0.0842,0,0,0,0,0.239,0.5504,30,0.4976,1.048,0.3277,0,0,0,0,19.2528,0.6016,0,0,0,0,0,0,0.6016,0.2692,57.8861,0.7604,0,0,7,0.6678,1.4282,0.2862,0,0,90.5846,0.5198,0,0,0.5198,0.176,0.07,0.1941,0,0.1941,0.1941,3.7917,0.1029,9.1,0.1242,0,9.8,0.7614,1,6.3,0.3854,0,12.8,0.087,0,11.9,0.4866,0,1,0.2,9.2,0.2303,0.2303,0.2303,0,0,3.9,0.0889,0.0889,0.0883,3.687,0.7374,9,23.5455,0.6448,9,0.3448,0.9772,9,1.5,0.3735,9,1.1642,0.3239,9,0.0278,0,2,3.0568,0.9566,3.376,0.796,1454,30.1,501,10.4,116,2.4,0,0,0,0,266,5.5,0,0,0,-999,-999
13,051,011006,140000US13051011006,13051011006,13051011006,Chatham County,Georgia,GA,Census Tract 110.06; Chatham County; Georgia,4073,398,1735,0.5575,0.1003,0.1575,0.0169,1.3351,0.2407,7.7,0.1148,0.1148,0.1148,9.0099,0.0884,1.2,0.0508,6.9,0.7134,13.3,0.1865,14.6,0.1582,0.6,0.024,4.6,0.2025,1.4238,0.0843,49.3,0.9904,9.4,0.054,19.4,0.8375,0.5,0.3503,2.2322,0.7001,0,0,0.8,0.658,0.658,0.376,4.4288,0.1393,0,0,0.091,0.5886,0.1386,0.2745,20,0.0434,0.9065,0.2637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4987,0.6502,22.8,0.182,6.5833,0.7112,1.5434,0.3983,0,0,6.3595,0.1407,0,0,0.1407,0.0567,0.064,0.1887,0,0.1887,0.1887,2.7793,0.0182,8.2,0.029,0,17,0.9931,1,10.1,0.9155,1,9.1,0.002,0,13,0.6132,0,2,0.4,9.4,0.2483,0.2483,0.2483,0,0,3.7,0.0753,0.0753,0.0747,3.6477,0.7107,9,15.9091,0.5425,9,0.4158,0.9903,9,1.5,0.3735,9,1.404,0.3917,9,0.0278,0,2,3.0087,0.9505,3.3323,0.7776,84,2.1,76,1.9,7,0.2,0,0,0,0,148,3.6,0,0,0,-999,-999
13,051,980000,140000US13051980000,13051980000,13051980000,Chatham County,Georgia,GA,Census Tract 9800; Chatham County; Georgia,0,14,2879,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0.091,0.5886,0.3185,0.7195,30,0.4976,1.8057,0.619,0,0,89.3905,0.793,81.3434,0.7732,40.7677,0.8819,0,0,0,0,2.4481,0.889,91.2569,0.6413,-999,-999,10.0833,0.4189,-999,-999,92.6476,0.7571,81.4123,0.4796,0,0,1.2367,0.5881,0.763,0.6656,0,0.6656,0.6656,-999,-999,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,0,0,9.2,0.2303,0.2303,0.2303,0,0,3.6,0.0706,0.0706,0.0699,3.687,0.7374,9,24.8182,0.6537,9,0.3448,0.9772,9,1.5,0.3735,9,1.1642,0.3239,9,0.0556,0.5198,9,3.5855,0.9934,3.8864,0.942,0,-999,0,-999,0,-999,0,-999,0,-999,0,-999,0,-999,0,-999,-999
