,Name,Address,City,Zip,State
0,1650 Union Hill Road,1650 Union Hill Rd,Alpharetta,30005,Georgia
1,3200 Webb Bridge Rd,3200 Webb Bridge Rd,Alpharetta,30005,Georgia
2,365 Data Centers - Alpharetta,11650 Great Oaks Way,Alpharetta,30022,Georgia
3,4905 North Point Pkwy,4905 North Point Pkwy,Alpharetta,30009,Georgia
4,Flexential Atlanta - Alpharetta Data Center,12655 Edison Drive,Alpharetta,30005,Georgia
5,STACK Infrastructure ATL01B,3200 Webb Bridge Rd,Alpharetta,30005,Georgia
6,Byrd Farms Technology Campus,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
7,Byrd Farms Technology Campus DC1,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
8,Byrd Farms Technology Campus DC10,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
9,Byrd Farms Technology Campus DC11,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
10,Byrd Farms Technology Campus DC12,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
11,Byrd Farms Technology Campus DC13,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
12,Byrd Farms Technology Campus DC14,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
13,Byrd Farms Technology Campus DC15,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
14,Byrd Farms Technology Campus DC16,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
15,Byrd Farms Technology Campus DC17,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
16,Byrd Farms Technology Campus DC18,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
17,Byrd Farms Technology Campus DC2,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
18,Byrd Farms Technology Campus DC3,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
19,Byrd Farms Technology Campus DC4,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
20,Byrd Farms Technology Campus DC5,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
21,Byrd Farms Technology Campus DC6,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
22,Byrd Farms Technology Campus DC7,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
23,Byrd Farms Technology Campus DC8,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
24,Byrd Farms Technology Campus DC9,Lonergan Hulme Rd & Nature's Way,Appling,30802,Georgia
25,White Oak Technology Park,Innovation Pkwy / Morris Callaway Road,Appling,30802,Georgia
26,10 Forsyth St NW,10 Forsyth St NW,Atlanta,30303,Georgia
27,1101 Donnelly Avenue,1101 Donnelly Avenue,Atlanta,30310,Georgia
28,180 Peachtree Street NW,180 Peachtree Street NW,Atlanta,30303,Georgia
29,1800 Tilford Yard,1800 Tilford Yard,Atlanta,30318,Georgia
