STATEFP10,STATE,STATE_ABV,ZCTA,GEOID10,MULTI_STATE,POP,PR_HRI,F_HRI,LOW_EMS,P_NEHD,PR_NEHD,HHB_SCORE,HHB_RANK,P_CHD,PR_CHD,F_CHD,P_OBS,PR_OBS,F_OBS,P_DIABETES,PR_DIABETES,F_DIABETES,P_COPD,PR_COPD,F_COPD,P_ASTHMA,PR_ASTHMA,F_ASTHMA,P_MNTHL,PR_MNTHL,F_MNTHL,F_SEN_COUNT,SEN_SCORE,SEN_RANK,P_UNINSUR,PR_UNINSUR,P_POV,PR_POV,P_UNEMP,PR_UNEMP,P_NOHSDP,PR_NOHSDP,P_ISO,PR_ISO,P_ELP,PR_ELP,P_DISABL,PR_DISABL,P_ODW,PR_ODW,P_AGE65,PR_AGE65,P_AGE5,PR_AGE5,SOCIODEM_SCORE,SOCIODEM_RANK,P_IMPERV,PR_IMPERV,P_TREEC,PR_TREEC,P_NOVEH,PR_NOVEH,P_MOBILE,PR_MOBILE,P_RENT,PR_RENT,P_OZONE,PR_OZONE,P_PM25,PR_PM25,NBE_SCORE,NBE_RANK,OVERALL_SCORE,OVERALL_RANK
13,GA,Georgia,30002,1330002,0,5861,20,0.25,0,4,0.0497,0.1499,0.0122,4.6,0.112,0,32,0.2224,0,10.6,0.4152,0,5.3,0.1363,0,10,0.3568,0,15.4,0.3925,0,0,0,0,9.4,0.6623,19.92071358,0.4706,3.8,0.423,3.8,0.1449,25.46557857,0.9369,1.793886143,0.7561,10.4,0.2459,3.666050524,0.1029,15.1,0.322,9.8,0.9382,0.5003,0.5178,27.06479672,0.8437,37.15175492,0.3702,12.7,0.9039,0,0,42.77600284,0.858,1.333333333,0.7627,0,0,0.5341,0.7236,0.3134,0.2006
13,GA,Georgia,30004,1330004,0,53033,59,0.75,0,5,0.0685,0.4092,0.2248,3.3,0.0266,0,25.3,0.0481,0,6.9,0.0416,0,3.5,0.0222,0,8.5,0.0397,0,12.4,0.0707,0,0,0,0,7.7,0.5685,7.675576319,0.1067,3,0.3122,5.2,0.2231,8.875039611,0.1818,2.378909859,0.7985,5.2,0.0372,3.464626484,0.0976,8.9,0.0724,7.2,0.7801,0.3178,0.1188,15.04645058,0.7757,45.54568334,0.2867,1.8,0.2524,1.5,0.2712,21.65181482,0.4489,1,0.6973,0,0,0.3903,0.3597,0.1758,0.0408
13,GA,Georgia,30005,1330005,0,34442,63,0.75,0,4.666666667,0.063,0.4065,0.2226,2.9,0.0182,0,23.7,0.028,0,6.9,0.0416,0,3.1,0.014,0,8.2,0.0179,0,11.7,0.0357,0,0,0,0,4.3,0.3037,7.169388897,0.0947,3.5,0.3811,3.4,0.1255,8.468916519,0.1621,3.011758418,0.8329,4.9,0.0338,1.552929829,0.057,7.3,0.0476,5.1,0.4383,0.2477,0.0411,32.19769422,0.8689,36.10640481,0.3794,2.5,0.3289,0.4,0.1847,32.38947213,0.7265,0.666666667,0.618,0,0,0.4438,0.5077,0.1929,0.0524
13,GA,Georgia,30008,1330008,0,29822,54,0.75,0,4.4,0.0577,0.4038,0.216,4.6,0.112,0,35.9,0.4382,0,11.3,0.5201,0,6,0.2144,0,10.7,0.6183,0,17.3,0.6711,1,1,0.1667,0.3497,24.7,0.9658,29.93777144,0.7396,4.4,0.5068,20.5,0.8503,14.55625028,0.5678,12.37848555,0.965,12,0.3518,17.3631548,0.8034,8.8,0.0709,7,0.755,0.6576,0.8858,24.97870665,0.8332,40.32466387,0.3388,9.3,0.8279,3.4,0.3609,46.52406417,0.8863,1.666666667,0.8026,0,0,0.5785,0.8049,0.5641,0.6861
13,GA,Georgia,30009,1330009,0,13722,89,1,0,5.2,0.0734,0.5367,0.4672,4.2,0.0732,0,24.5,0.0369,0,7.8,0.0873,0,4.2,0.0489,0,8.5,0.0397,0,12.4,0.0707,0,0,0,0,8.8,0.6323,11.29966645,0.2028,5.2,0.6062,3.9,0.1502,14.93101056,0.5935,1.597796143,0.737,7.4,0.0874,2.084513425,0.0658,14.7,0.2985,6,0.5991,0.3973,0.2647,34.13919779,0.8777,35.55283649,0.3846,5.5,0.6227,0,0,37.82652619,0.8071,0.666666667,0.618,0,0,0.4729,0.5853,0.3293,0.2293
13,GA,Georgia,30011,1330011,0,14402,46,0.5,0,3.666666667,0.0433,0.2716,0.0716,4.5,0.1016,0,36.8,0.5112,0,9.1,0.2089,0,6,0.2144,0,9.9,0.3207,0,16.8,0.5996,0,0,0,0,17.9,0.9104,21.82635109,0.5287,7.3,0.7861,14.8,0.7095,8.465918607,0.1619,2.563755665,0.8091,13.5,0.4541,10.20380978,0.4405,10.8,0.122,6.5,0.6827,0.5605,0.6733,9.218541919,0.7239,45.20375513,0.2897,2.5,0.3289,9.1,0.5583,20.63524176,0.4182,0,0,0,0,0.3313,0.2153,0.24,0.098
13,GA,Georgia,30012,1330012,0,27258,57,0.75,0,3.666666667,0.0433,0.3966,0.2031,6,0.3488,0,40.6,0.8027,1,13.2,0.7548,1,7.3,0.4066,0,11,0.719,1,18.2,0.7754,1,4,0.6667,0.7602,19.2,0.926,35.67322891,0.8394,6.3,0.7148,18.9,0.8189,12.72372763,0.434,4.446192456,0.8813,11.2,0.2979,11.48648649,0.5219,13.2,0.2183,6.6,0.6979,0.635,0.841,10.12917902,0.7337,49.25754718,0.2493,7.1,0.734,10.7,0.6004,45.09665727,0.8767,1.666666667,0.8026,0,0,0.571,0.7928,0.6493,0.8186
13,GA,Georgia,30013,1330013,0,25183,81,1,0,4,0.0497,0.5248,0.4455,4.8,0.1385,0,40.3,0.7839,1,12,0.6182,0,5.5,0.1573,0,10.6,0.5818,0,16.2,0.5096,0,1,0.1667,0.3497,10.8,0.7267,18.94546004,0.4404,9.9,0.8883,7,0.3346,12.12509234,0.39,1.846545686,0.7606,10.2,0.2339,6.834305534,0.2369,11.7,0.1525,5.4,0.4912,0.4655,0.4266,18.37616431,0.7975,42.41271777,0.3182,4.5,0.5366,0.6,0.2083,37.03046745,0.7976,2,0.8311,0,0,0.4985,0.6471,0.4672,0.4983
13,GA,Georgia,30014,1330014,0,35037,73,0.75,0,4.2,0.0542,0.4021,0.2131,5.9,0.3285,0,39.1,0.7026,1,12.4,0.6687,1,7.3,0.4066,0,10.6,0.5818,0,17.6,0.7082,1,3,0.5,0.6536,14.9,0.8553,25.76520311,0.6405,6.7,0.7454,16,0.7475,12.48235906,0.4164,1.081794937,0.6713,16.2,0.6242,12.07875133,0.5591,13,0.2078,6.4,0.6659,0.6133,0.795,5.479792946,0.6682,48.74873615,0.2545,7.4,0.7497,5.8,0.4547,39.84614236,0.8309,1.333333333,0.7627,0,0,0.5315,0.7187,0.5951,0.7381
13,GA,Georgia,30016,1330016,0,51140,57,0.75,0,4,0.0497,0.3998,0.2111,4.7,0.1251,0,41.5,0.8503,1,11.6,0.564,0,6.2,0.2402,0,11,0.719,1,18.3,0.786,1,3,0.5,0.6536,11.2,0.7422,25.30266783,0.6286,6.4,0.7227,11.3,0.5731,9.270722865,0.2018,0.72606496,0.6064,13.6,0.4604,10.77082295,0.4764,10.4,0.1103,6.3,0.6495,0.5171,0.561,5.515494319,0.669,53.99476469,0.2044,3.7,0.4571,3.5,0.3656,29.93050692,0.676,1.666666667,0.8026,0,0,0.4535,0.5346,0.4901,0.5437
